2; aprire({due}, uova)
3; aggiungere({30 g}, latte {intero})
4; aggiungere({pizzico}, sale)
5; mettere(pentola, fuoco)
6; mescolare(ingredienti)
7; versare(olio, pentola)
8; aggiungere(ingredienti {mescolati})
9; girare(frittata)
10; togliere(pentola, fuoco)
11; aggiungere({15g}, lievito {di birra, fresco})
12; aggiungere(acqua {minerale, tiepida})
13; mescolare
14: aggiungere({150g}, farina)
15; aggiungere({po'}, zucchero)
16; aggiungere({po'}, sale)
17; versare({po'}, acqua)
18; mescolare
19; aggiungere(lievito)
20; mescolare
21; coprire(recipiente, pellicola)
22; pulire({15}, fiori di zucca)
23; togliere(pistillo {centrale})
24; preparare({un}, tuorlo {d'uovo})
25; aggiungere ({100 g}, farina {00})
26; aggiungere({200 g}, acqua ghiacciata)
27; aprire(recipiente {con pellicola, di prima})
28; porre(fiori di zucchina, ciotola)
29; controllare(temperatura olio)
30; friggere(fiore di zucchina)
31; scolare(fiore di zucchina)
32; aggiungere({pizzico}, sale)
33; immergere(zucchine, tempura)
34; friggere(fiori di zucchina)
35; scolare (fiori di zucchina)
36; aggiungere ({pizzico}, sale)
37; versare({200 g}, panna, pentola)
38; mettere(pentola, fuoco {basso, 10 minuti})
39; sbucciare({550 g}, patate)
40; schiacciare(patate)
41; mettere(patate, fuoco {basso})
42; schiacciare(patate, passino)
43; aggiungere(sale)
44; impastare
45; mettere(panna, pentola)
46; aggiungere(patate)
47; aggiungere(crema)
48; grattugiare(noce moscata)
49; impiattare(tegamino)
50; aggiungere(olio {extravergine d'oliva})
