2; aprire(2, uova)
3; aggiungere(30 g, latte, *uova*)
4; aggiungere(sale, *[ingredienti]*)
5; mettere(padella, fuoco)
6; mescolare(uova)
7; aggiungere(olio, padella)
8; aggiungere([uova, latte], padella)
9; girare(frittata)
10; togliere(padella, fuoco)
---
11; prendere(15 g, lievito)
12; aggiungere(acqua, lievito)
13; mescolare(*[ingredienti]*)
14; aggiungere(150 g, farina, *[ingredienti]*)
15; aggiungere(zucchero, *[ingredienti]*)
16; aggiungere(sale, *[ingredienti]*)
17; [mescolare(*[ingredienti]*), aggiungere(acqua, *[ingredienti]*)]
18; mescolare(tutto)
19; aggiungere(lievito, *tutto*)
20; mescolare(*[ingredienti]*)
21; coprire(contenitore)
22; prendere(15, fiori di zucca)
23; separare(*parte*, fiore di zucca)
24; prendere(1, tuorlo)
25; aggiungere(100 g, farina, *tuorlo*)
26; aggiungere(200 g, acqua, *[ingredienti]*)
27; scoprire(contenitore)
28; aggiungere(fiori di zucca, contenitore)
30; aggiungere(fiori di zucca, *olio*)
31; separare(fiori di zucca, olio)
32; aggiungere(un po', sale, *fiori di zucca*)
33; aggiungere(fiori di zucca, tempura)
34; aggiungere(fiori di zucca, *olio*)
35; separare(fiori di zucca, olio)
36; aggiungere(sale, *fiori di zucca*)
---
37; aggiungere(200 g, panna, pentola)
38; cuocere(*panna*, fuoco basso, 10 minuti)
39; sbucciare(550 g, patate)
40; schiacciare(patate)
41; [aggiungere(patate, padella), cuocere(*patate*, fuoco basso)]
42; passare(patate, setaccio)
43; aggiungere(sale, *patate*)
44; impastare(*[ingredienti]*)
45; aggiungere(panna, contenitore)
46; aggiungere(patate, *contenitore*)
47; aggiungere(crème fraîche, *contenitore*)
48; grattare(noce moscata)
49; aggiungere(contenuto, contenitori)
50; aggiungere(olio, *contenitori*)
