1; prendere(uova, frigorifero)
2; aprire(uova, recipiente)
3; aggiungere(latte, recipiente)
4; aggiungere(sale, recipiente)
5; mettere(padella, fuoco)
6; mescolare(uova)
7; aggiungere(olio, padella)
8; aggiungere(uova, pentola)
9; girare(frittata)
10; togliere(padella, fuoco)
---
11; aggiungere(lievito, recipiente)
12; aggiungere(acqua, recipiente)
13; mescolare(ingredienti)
14; aggiungere(farina, *[ingredienti]*)
15; aggiungere(zucchero, *[ingredienti]*)
16; aggiungere(sale, *[ingredienti]*)
17; aggiungere(acqua, *[ingredienti]*)
18; mescolare(ingredienti)
19; aggiungere(lievito, *[ingredienti]*)
20; mescolare(ingredienti)
21; coprire(recipiente, cellophane)
22; prendere(15, fiori di zucca)
23; separare(*parte*, fiori di zucca)
24; aggiungere(tuorlo, recipiente)
25; *aggiungere*(100 g, farina, *recipiente*)
26; *aggiungere*(200 g, acqua, *recipiente*)
27; scoprire(recipiente)
28; aggiungere(fiore di zucca, impasto)
29; controllare(olio)
30; aggiungere(fiore di zucca, olio)
31; separare(fiore di zucca, olio)
32; aggiungere(sale, fiore di zucca)
33; aggiungere(fiore di zucca, tempura)
34; aggiungere(fiore di zucca, olio)
35; separare(fiore di zucca, olio)
36; aggiungere(sale, *fiore di zucca*)
---
37; aggiungere(200 g, panna, pentola)
38; cuocere(latte, fuoco basso)
40; schiacciare(patate)
41; aggiungere(patate, padella)
42; passare(patate, *setaccio*)
43; aggiungere(sale, *patate*)
44; impastare(*[ingredienti]*)
45; aggiungere(latte, pentola)
46; aggiungere(patate, *pentola*)
47; aggiungere(crème fraîche, pentola)
48; grattare(noce moscata, *pentola*)
49; aggiungere(composto, recipienti)
50; aggiungere(olio, *recipienti*)
