2; rompere({due}, uova, piatto)
3; aggiungere({30 g}, latte intero)
4; aggiungere({pizzico}, sale)
6; sbattere(contenuto, frusta)
7; versare(olio, padella)
8; versare(contenuto, padella)
9; girare(contenuto, padella)
10; togliere(padella, fuoco)
11; aggiungere({15 g}, lievito {di birra, fresco}, ciotola)
12; aggiungere(acqua {minerale, tiepida}, ciotola)
13; sbattere(contenuto, frusta)
14; aggiungere({150 g}, farina, ciotola)
15; aggiungere(zucchero, farina)
16; aggiungere(sale, farina)
17; amalgamare(tutto); versare(acqua)
18; mischiare(contenuto {ciotola})
19; aggiungere(contenuto {altra ciotola}, questa *ciotola*)
20; mischiare(contenuto {ciotola})
21; sigillare(ciotola, plastica per alimenti)
23; togliere(interno dei fiori di zucca)
24; versare(tuorlo {d'uovo}, ciotola)
25; aggiungere({500 g}, farina 00); mischiare(*farina 00*, tuorlo d'uovo)
26; mischiare(); aggiungere({200 g}, acqua ghiacciata)
27; scoprire(ciotola {stipata})
28; immergere(fiori di zucca, pastella)
29; controllare(olio {a temperatura}, pastella)
30; mettere(fiori di zucca {impastellati}, olio)
31; scolare(fiori di zucca {cotti}, foglio)
32; salare(fiori di zucca)
33; immergere(fiori di zucca, tempura)
34; friggere(fiori di zucca)
35; scolare(fiori di zucca, olio {in eccesso})
36; salare(fiori di zucca)
37; versare({200 g}, panna, pentolino)
38; cuocere({fuoco basso, per 10 minuti})
39; sbucciare({550 g}, patate {gialle, fresche})
40; schiacciare(patate, {altra} ciotola) 
41; cuocere(patate {schiacciate, fuoco basso})
42; setacciare(patate {schiacciate, cotte})
43; salare(patate)
44; amalgamare(patate {schiacciate})
45; mettere(panna {cotta}, padella)
46; versare(patate, panna)
47; aggiungere(crème fraiche)
48; aggiungere(noce moscata)
49; versare(contenuto, pentolini)
50; aggiungere(olio {extravergine d'oliva}, pentolini)

