2; rompere({due}, uova)
3; aggiungere({30 g}, latte intero)
4; aggiungere({piccola manciata}, sale)
5; prendere(pentola); mettere(*pentola*, fornello); accendere(fuoco)
6; sbattere(uova, recipiente)
7; aggiungere(olio, pentola)
8; versare(preparato, pentola)
9; girare(preparato, pentola)
10; togliere(pentola, fuoco)
11; prendere({15 g}, lievito {di birra, fresco})
12; aggiungere(acqua {minerale, tiepida})
13; sbattere(preparato)
14; mettere({150 g}, farina, recipiente)
15; aggiungere(zucchero)
16; aggiungere(sale)
17; miscelare(preparato); aggiungere(acqua {poco alla volta})
18; sbattere(preparato {con forza})
19; aggiungere(preparato {precedente}, {nuovo} preparato)
20; mischiare(tutto {con forza})
21; coprire(recipiente, pellicola {trasparente})
22; prendere({15}, fiori di zucca); pulire(*fiori di zucca*)
23; togliere(semi, fiori di zucca)
24; prendere(recipiente); prendere(uovo); separare(albume, tuorlo)
25; aggiungere({100 g}, farina)
26; aggiungere({200 g}, acqua {ghiacciata})
27; togliere(pellicola, preparato)
28; inserire(fiori di zucca, pastella)
29; prendere(pastella); mettere(*pastella*, olio {caldo}); vedere(olio {pronto})
30; prendere({un}, fiore di zucca); mettere(*fiore di zucca*, pentola)
31; togliere(fiori di zucca, pentola); mettere(*fiori di zucca*, tovagliolo di carta)
32; aggiungere(sale)
33; prendere(fiori di zucca); mettere(*fiori di zucca*, ciotola {tempura})
34; mettere(fiori di zucca {con tempura}, olio {bollente})
35; togliere(fiori di zucca, olio {bollente})
36; aggiungere(sale)
37; prendere({200 g}, panna); versare(*panna*, pentola)
38; accendere(fuoco {basso, 10 minuti}, pentola)
39; sbucciare({550 g}, patate, contenitore)
40; prendere(*patate*); mettere(*patate*, schiacciapatate)
41; prendere(patate {schiacciate}); mettere(*patate*, padella {fuoco basso})
42; prendere(patate); mettere(*patate*, setaccio); schiacciare(*patate*)
43; aggiungere(sale)
44; impastare(tutto)
45; prendere(panna); mettere(*panna*, {altra} pentola)
46; prendere(patate {schiacciate}); mettere(*patate*, panna {calda}); mescolare(tutto)
47; prendere({po'}, crème fraiche); aggiungere(*crème fraiche*, composto)
48; grattugiare({po'}, formaggio, composto)
49; prendere(composto); mettere(*composto*, {due}, tegami)
50; aggiungere(olio {extravergine d'oliva})

