(2; aprire({due}, uova)
3; aggiungere(latte)
4; aggiungere(sale)
5; mettere(padella, fuoco)
6; sbattere(uova)
7; aggiungere(olio, padella)
8; aggiungere(composto, padella)
9; girare(composto)
11; prendere(lievito {di birra})
12; aggiungere(acqua {minerale})
13; girare(composto); mescolare
14; aggiungere(farina)
15; aggiungere(zucchero)
16; aggiungere(sale)
17; girare(composto); aggiungere(acqua)
18; girare(composto {energicamente})
19; aggiungere(lievito {di birra}, composto)
20; mescolare()
21; coprire(composto, pellicola)
22; prendere(fiori di zucca)
23; pulire(*fiori di zucca*)
24; prendere({un}, uovo); prendere(tuorlo, *uovo*)
25; prendere(farina); aggiungere(*farina*, composto)
26; aggiungere(acqua {ghiacciata}); girare() 
27; togliere(pellicola, composto {di prima})
28; prendere(fiori di zucca); inserire(*fiori di zucca*, pastella)
29; vedere(olio {caldo})
30; friggere(fiori di zucca)
31; togliere(fiori di zucca, olio)
32; aggiungere(sale)
33; prendere(tempura); inserire(fiori di zucca)
34; friggere(fiori di zucca)
35; scolare(*fiori di zucca*, olio)
36; aggiungere(sale)
37; prendere(panna); aggiungere(*panna*, padella)
38; accendere(fuoco {basso, 10 minuti})
39; sbucciare(patate)
40; schiacciare(patate, utensile {apposito})
41; mettere(patate, pentola {fuoco basso})
42; setacciare(patate, {altro} contenitore)
43; aggiungere(sale)
44; amalgamare(composto)
45; aggiungere(panna, pentola {più grande})
46; aggiungere(composto, *panna*); mescolare
47; aggiungere(crema)
48; aggiungere(noce moscata)
49; dividere(composto, {due}, pentolini {piccoli})
50; aggiungere(olio {extravergine})
