2; aprire(uova)
3; aggiungere(30 g, latte, *uova*)
4; *aggiungere*(pizzico, sale, *[ingredienti]*)
5; mettere(padella, fuoco)
6; mescolare(uova, frusta)
7; aggiungere(filo, olio, padella)
8; aggiungere(composto, padella)
9; girare(frittata)
10; togliere(frittata, fuoco)
---
11; *aggiungere*(15 g, lievito, boule)
12; aggiungere(po', acqua, *lievito*)
13; mescolare(composto)
14; aggiungere(150 g, farina, *composto*)
15; *aggiungere*(zucchero, *composto*)
16; aggiungere(sale, *composto*)
17; aggiungere(po', acqua, *composto*)
18; mescolare(*composto*, frusta)
19; aggiungere([acqua, lievito], *composto*)
20; mescolare(composto)
21; coprire(pellicola)
22; prendere(15, fiori di zucca)
23; separare(gambo, *fiori di zucca*)
24; [prendere(tuorlo), aggiungere(tuorlo, boule)]
25; *aggiungere*(100 g, farina, *tuorlo*)
26; aggiungere(200 g, acqua, *farina*)
27; scoprire(impasto)
28; aggiungere(fiori di zucca, composto)
29; controllare(olio)
30; aggiungere(fiori di zucca, olio)
31; [separare(fiori di zucca, olio), aggiungere(fiori di zucca, carta)]
33; [prendere(impasto), aggiungere(fiori di zucca, impasto)]
34; aggiungere(fiori di zucca*, olio)
35; [separare(fiori di zucca, *olio*), aggiungere(fiori di zucca, carta)]
36; aggiungere(pizzico, sale, *fiori di zucca*)
---
37; [prendere(200 g, panna), aggiungere(panna, pentolino)]
38; mettere(panna, fuoco basso, 10 minuti)
39; sbucciare(550 g, patate)
40; schiacciare(patate, schiacciapatate)
41; mettere(patate, padella, a fuoco basso)
42; passare(patate, setaccio)
43; aggiungere(sale, *patate*)
44; impastare(*[ingredienti]*)
45; aggiungere(panna, teglia)
46; aggiungere(patate, *teglia*)
47; aggiungere(crème fraiche, *teglia*)
48; grattare(noce moscata, *teglia*)
49; [prendere(composto), aggiungere(composto, tegamini)]
50; aggiungere(olio, *tegamini*)
