2; aprire({due}, uova)
3; aggiungere({30 g}, latte intero)
4; *aggiungere*({pizzico}, sale)
5; mettere(padella, fuoco)
6; mescolare(composto)
7; aggiungere(olio, padella)
8; versare(contenuto {ciotola}, *padella*)
9; girare(omelette)
10; togliere(padella, fuoco)
11; prendere({15 g}, lievito {di birra, fresco}); mettere(*lievito*, ciotola)
12; aggiungere(acqua {minerale, tiepida})
13; mescolare()
14; aggiungere({150 g}, farina)
15; *aggiungere*({po'}, zucchero)
16; *aggiungere*({pizzico}, sale)
17; mescolare; aggiungere({poco}, acqua)
18; mescolare()
19; aggiungere(lievito {mescolato})
20; mescolare()
21; coprire(ciotola, pellicola)
22; prendere({15}, fiori di zucca)
24; prendere({altra} ciotola); mettere({un}, tuorlo)
25; mescolare; aggiungere({100 g}, farina {00})
26; mescolare; aggiungere({200 g}, acqua {ghiacciata})
27; prendere(ciotola {con pellicola}); aprire (*ciotola*)
28; prendere(fiori di zucca); immergere(*fiori di zucca*, impasto)
29; controllare(olio)
30; immergere(fiori di zucca, olio)
31; togliere(*fiori di zucca*, olio)
32; prendere(fiori di zucca, padella); mettere(*fiori di zucca*, vassoio {con tovagliolo di carta})
33; aggiungere(sale)
34; mettere(fiori di zucca, impasto)
35; mettere(*fiori di zucca*, padella {con olio})
36; togliere(*fiori di zucca*, *padella*)
37; aggiungere({po'}, sale)
38; prendere({200 g}, panna); mettere(*panna*, pentolino)
39; sbucciare({550 g}, patate {buccia gialla})
40; schiacciare(*patate*)
41; mettere(*patate*, padella {fuoco basso})
42; passare(*patate*, colino)
43; mettere(*patate*, ciotola); aggiungere({po'}, sale)
44; mescolare({con le mani})
45; prendere(panna); versare(*panna*, padella)
46; prendere(patate); mettere(*patate*, pentola)
47; aggiungere({due cucchiaini}, crème fraîche)
48; grattuggiare({po'}, noce moscata)
49; mettere(tutto, ciotoline)
50; aggiungere(olio {extravergine d'oliva})

